Topic,Words,Frequency,Timestamp,Global_Representation
64,"jingle, sleigh, jingle bells, weihnachtszeit, weihnachtslied",44,2005-2009,Klassisches Weihnachtslied mit Schlitten
65,"eko, eko fresh, savas, deutschen hip, köln",34,2005-2009,"Eko Fresh: Status, Kritik, Selbstinszenierung"
-1,"gig, chakuza, sean, sean paul, 2010er",7408,2010-2014,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog sprecherin, monolog verzweiflung, monolog zerrissenheit, monolog erinnerung, monolog resignation",2266,2010-2014,Zerrissener innerer Monolog und Selbstreflexion
1,"2010er, 2010er jahre, frühen 2010er, kollektiven rausch, körperliche bewegung",702,2010-2014,Rave‑Kultur: kollektiver Tanz
2,"regens steht, nutzt regens, umbrella, wetterphänomen, raining",214,2010-2014,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, weihnachtsfest, merry christmas, weihnachtsmann, mistelzweig",290,2010-2014,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"satirischer kommentar, bissiger, prominenz, bissiger kommentar, million dollar",381,2010-2014,Bissige Satire über Geldliebe
5,"niggas, maybach, haftbefehl, rick ross, illegale",862,2010-2014,"Straßenrap: Luxus, Drogen, Gewalt"
6,"driver, autofahrt, mobilen, mobiles, lenkrad",177,2010-2014,"Fahrzeug, Fahrer und Mobilität"
7,"liebesmanifest, liebe allumfassende, wodurch liebe, gefühls unterstreicht, love entfaltet",742,2010-2014,Allumfassendes Liebesmanifest
8,"zugfahrt, lokomotive, eisenbahn, gleis, choo",77,2010-2014,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, breakdown, gefängnis schuld, selbstverurteilung wunsch, selbstsabotage",968,2010-2014,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, vertrauen göttliche, gegenwart gottes, lobpreis, beziehung gott",114,2010-2014,Christliche Glaubensbekenntnis und Anbetung
11,"feuers intensive, feuers steht, spiel feuer, wobei feuer, nutzt feuers",195,2010-2014,Feuer als Metapher für Liebe
12,"angel eyes, wobei engel, reinheit schutz, guardian angel, angel entfaltet",89,2010-2014,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, sabaton, eindringlicher protest, apokalypse, düsteres manifest",629,2010-2014,Umweltzerstörung: Protest der Bevölkerung
14,"sommerromanze, sommerliebe, dream little, blue moon, mondlichts",107,2010-2014,Sommerliebe im Mondlicht
15,"jah, leidenschaftlicher aufruf, kollektive gewissen, mitzuwirken, kollektives handeln",437,2010-2014,Kollektiver Aufruf zur Gerechtigkeit
16,"schiffes, segelns, atlantis, maritimen, seemanns",309,2010-2014,"Maritime Reisen, Mythen und Hafen"
17,"heimweh, wort home, home entfaltet, fernweh, wahre zuhause",269,2010-2014,Heimweh und Rückkehr
18,"innenleben sehnsucht, sehnsucht selbstschutz, zerrissene innenleben, intensives innenleben, intensives ringen",2133,2010-2014,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestierter aufruf, manifestes, aufruf bewussten, manifestes bekenntnis, gestalten anstatt",974,2010-2014,Aufruf zur Selbstbestimmung und Resilienz
20,"deutschen rap, rap szene, savas, deutschen hip, alpa",523,2010-2014,"Deutschrap: Gewalt, Identität, Szene"
21,"hirten, bethlehem, inkarnation, christi, weihnachtsgeschichte",54,2010-2014,Weihnachtsgeschichte: Geburt Jesu
22,"verlangen selbstzerstörung, liebe berauschend, leidenschaftlicher hingabe, verführerischen gefährlichen, verlangen selbstschutz",812,2010-2014,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, california dreamin, kansas city, louisiana, kansas",52,2010-2014,Amerikanische Reise‑ und Freiheitslyrik
24,"befreiung toxischen, erdrückenden beziehung, ende toxischen, endgültige abschneiden, manifest selbstbefreiung",499,2010-2014,Selbstbefreiung aus toxischer Beziehung
25,"blackbird, bluebird, over rainbow, can fly, songbird",353,2010-2014,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, liebesmanifest, liebe grenzen, schwerelosigkeit, umlaufbahn",508,2010-2014,Allumfassende kosmische Liebesbegegnung
27,"blah, kind vater, 74, opa, cro",115,2010-2014,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"amy, grog, alkohol fluchtmittel, liquor, bourbon",74,2010-2014,"Alkohol, Bar, Herzschmerz, Flucht"
29,"goody, goody goody, wort fool, just fool, cheated",95,2010-2014,Selbstbezeichnung als Narr in Beziehungen
30,"call name, up phone, baby come, operator, asap",124,2010-2014,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, jugendlicher leidenschaft, liebesmanifest, typisches pop, liebesgruß",459,2010-2014,Jugendliche Pop‑Liebeserklärung
32,"rückblick unbeschwerte, peter pan, cro, erwachsenseins, unbeschwerte kindheit",295,2010-2014,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"frightful, delightful, winterliche wetter, nutzt winterliche, gedämpfte",80,2010-2014,Wintersturm und heimische Geborgenheit
34,"sandmann, schlaflied, sandman, zärtliches wiegenlied, nächtliches wiegenlied",20,2010-2014,Sandmann – nächtliches Schlaflied
35,"bevölkerung, algorithmen, bissiger, kommentar gesellschaft, computer",741,2010-2014,Digitale Entfremdung und Bürokratie
36,"shine bright, solid gold, gold dust, herz gold, unzerbrechlichen",51,2010-2014,Goldene Alchemie der Liebe
37,"snoop, dogg, snoop dogg, west coast, khalifa",92,2010-2014,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"roulette, kartenspiels, poker, glücksspiels, kartenspiel",60,2010-2014,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, american dream, obama, patriotische, staaten",127,2010-2014,"Amerikas Patriotismus, Indigene und Schuld"
40,"bekenntnis bedingungsloser, bedingungsloser unterstützung, stand by, verlässlicher anker, bekenntnis bedingungslose",383,2010-2014,Bedingungslose Unterstützung und Verlässlichkeit
41,"blues musikalisches, musikalisches genre, hooker, cathouse, got blues",24,2010-2014,Blues-Textanalyse: Verlust und Sehnsucht
42,"reiter, hillbilly, dixie, amerikanischen westens, rodeo",37,2010-2014,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, herbstes, ende sommers, sandes, schlosses",124,2010-2014,Herbstliche Symbolik von Verlust
44,"kollegah, kollegahs, unantastbarer, überlegener, unantastbaren boss",28,2010-2014,Kollegah: Luxus‑Rap und Machtdemonstration
45,"wasser unbewusste, fluss steht, wobei wasser, underwater, wasser spiegel",168,2010-2014,Fluss‑Metaphern in Liedtexten
46,"biene, usher, unmittelbarer körperlicher, verführung kontrolle, körperliche lust",426,2010-2014,Erotische Süßmetaphern in Pop
47,"bushido, bushidos, bushido positioniert, kay, deutschen rap",36,2010-2014,Bushido: Selbstinszenierung im deutschen Rap
48,"los los, york city, harlem, tulsa, santa fe",135,2010-2014,"New York: Stadt, Kultur, Musik"
49,"indigo, wort blue, rosary, mr blue, no sunshine",52,2010-2014,Blaues Symbol für Traurigkeit
50,"run run, weglaufens, monolog gefühl, forrest, kopfhörer",444,2010-2014,Ständige Flucht und innere Zerrissenheit
51,"ballons, raumschiff, astronauten, sierra, raumschiffs",129,2010-2014,Weltraum‑Utopie Shangri‑La
53,"minaj, nicki, nicki minaj, eminems, wu",171,2010-2014,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
54,"samy, deluxe, samy deluxe, deutschen hip, deutsche rap",30,2010-2014,Samy Deluxe und deutsche Rapszene
55,"hollywoods, celluloid, sweet jane, filmwelt, bette davis",41,2010-2014,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, weihnachtsbotschaft, christi, geburt christi",32,2010-2014,Stille Nacht – Heilige Geburt
57,"zappa, atzen, 257ers, überspitztes, provokanter manifest",609,2010-2014,Zappa‑Ästhetik und satirische Provokation
58,"barbara, rosen stehen, schönheit dornen, rose steht, thorn",76,2010-2014,Rote Rosen Symbolik in Liedern
59,"wrecking, masquerade, wrecking ball, camouflage, life party",227,2010-2014,Fassade vs innere Verzweiflung
60,"cold outside, really can, vater schwester, gefrorene, herz eis",100,2010-2014,"Kälte außen, Herz erstarrt"
61,"fler, farid, farid bang, deutschen rap, ufo361",108,2010-2014,Deutschrap‑Battle: Farid Bang & Szene
62,"schmetterlings, schmetterling, raupe, weibchen, flügelschlag",13,2010-2014,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"nas, niggas, dmx, compton, kendrick",74,2010-2014,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, weihnachtslied, used know, jingle bells",40,2010-2014,Klassisches Weihnachtslied mit Schlitten
65,"eko, eko fresh, deutschen hip, deutschen rap, eko freshs",97,2010-2014,"Eko Fresh: Status, Kritik, Selbstinszenierung"
-1,"gig, kurdo, drakes, alligatoah, nf",6446,2015-2019,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog sprecherin, monolog zerrissenheit, monolog verzweiflung, monolog erinnerung, monolog resignation",1963,2015-2019,Zerrissener innerer Monolog und Selbstreflexion
1,"rave, körperliche bewegung, tanzmusik, manifestierter aufruf, kollektiven rausch",446,2015-2019,Rave‑Kultur: kollektiver Tanz
2,"let rain, rain monolog, nutzt regens, regen tränen, regens steht",140,2015-2019,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, santa claus",301,2015-2019,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"bissiger, bissiger kommentar, entertainment, monetäre, sdp",336,2015-2019,Bissige Satire über Geldliebe
5,"olexesh, niggas, illegale, rolex, modernen trap",2628,2015-2019,"Straßenrap: Luxus, Drogen, Gewalt"
6,"mustang, driver, beep, wobei auto, nächtliche fahren",188,2015-2019,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, liebesmanifest, überschwängliches bekenntnis, intensives bekenntnis, love entfaltet",614,2015-2019,Allumfassendes Liebesmanifest
8,"eisenbahn, choo, zugfahrt, lokomotive, love train",66,2015-2019,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, selbstsabotage, inneres gefecht, selbstverurteilung wunsch, selbstbeschuldigung",884,2015-2019,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, vertrauen göttliche, göttlicher gegenwart, gebet persönliche, theologische",111,2015-2019,Christliche Glaubensbekenntnis und Anbetung
11,"wobei feuer, feuers steht, fire entfaltet, wildfire, spiel feuer",199,2015-2019,Feuer als Metapher für Liebe
12,"angel eyes, guardian angel, wobei engel, guardian, bengel",46,2015-2019,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, eindringlicher protest, sabaton, düsteres manifest, ökologischen",533,2015-2019,Umweltzerstörung: Protest der Bevölkerung
14,"sommerliebe, blue moon, luna, mond steht, sommerromanze",101,2015-2019,Sommerliebe im Mondlicht
15,"jah, manifestes, kollektive gewissen, leidenschaftlicher aufruf, champions",384,2015-2019,Kollektiver Aufruf zur Gerechtigkeit
16,"segelns, schiffes, sail away, kapitäns, maritimen",228,2015-2019,"Maritime Reisen, Mythen und Hafen"
17,"heimweh, wahre zuhause, like home, zuhaus, fernweh",262,2015-2019,Heimweh und Rückkehr
18,"innenleben sehnsucht, zerrissene innenleben, sehnsucht selbstschutz, intensives innenleben, love inneres",1899,2015-2019,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestes, manifestierter aufruf, aufruf bewussten, manifestes bekenntnis, kontra",935,2015-2019,Aufruf zur Selbstbestimmung und Resilienz
20,"deutschen rap, rap szene, rap business, rap milieu, savas",723,2015-2019,"Deutschrap: Gewalt, Identität, Szene"
21,"bethlehem, hirten, christi, noel, geburt christi",37,2015-2019,Weihnachtsgeschichte: Geburt Jesu
22,"beziehung verlangen, beziehung berauschend, schmerz lust, verlangen selbstschutz, beziehung anziehung",628,2015-2019,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, kansas city, kansas, sonnenverwöhnten, westküste",47,2015-2019,Amerikanische Reise‑ und Freiheitslyrik
24,"befreiung toxischen, selbstbefreiungs, erdrückenden beziehung, manifest selbstbefreiung, frau toxischen",457,2015-2019,Selbstbefreiung aus toxischer Beziehung
25,"nachtigall, ikarus, laterne, blackbird, over rainbow",301,2015-2019,"Flug über Regenbogen, Begrenzungen"
26,"entfaltet poetisches, begegnung geliebten, entfaltet intensiver, liebe alltägliche, zweier seelen",402,2015-2019,Allumfassende kosmische Liebesbegegnung
27,"emotionales tribut, mütterliche liebe, nachdenklicher dialog, familia, vater kind",152,2015-2019,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"black coffee, red wine, pinot, alkohol ersatz, trinkverhalten",68,2015-2019,"Alkohol, Bar, Herzschmerz, Flucht"
29,"paradoxes beziehungsgeflecht, beziehungsgeflecht liebe, lie lie, hurts too, love him",104,2015-2019,Selbstbezeichnung als Narr in Beziehungen
30,"ring ring, khalid, laurie, back baby, up phone",128,2015-2019,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, jugendlicher leidenschaft, liebesmanifest, offenbaren tieferes, intensives bekenntnis",446,2015-2019,Jugendliche Pop‑Liebeserklärung
32,"rückblick unbeschwerte, were young, peter pan, nimmerland, forever young",247,2015-2019,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"frightful, nutzt winterliche, delightful, schneeflocken, winterliche wetter",59,2015-2019,Wintersturm und heimische Geborgenheit
34,"sandmann, go sleep, zärtliches wiegenlied, wiegenlied trost, nächtliches wiegenlied",18,2015-2019,Sandmann – nächtliches Schlaflied
35,"algorithmen, bildschirme, computer, bevölkerung, wütender protest",643,2015-2019,Digitale Entfremdung und Bürokratie
36,"goldmine, herz gold, fool gold, gold dust, gold monolog",62,2015-2019,Goldene Alchemie der Liebe
37,"snoop, dogg, snoop dogg, west coast, doggs",89,2015-2019,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"roulette, kartenspiels, gambler, glücksspiels, kartenspiel",52,2015-2019,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, american dream, demokratie, hahn, american dreams",84,2015-2019,"Amerikas Patriotismus, Indigene und Schuld"
40,"stand by, bekenntnis bedingungsloser, bedingungsloser unterstützung, vertrauen beziehung, glücklichen momenten",330,2015-2019,Bedingungslose Unterstützung und Verlässlichkeit
41,"blues genre, blues musikalisches, musikalisches genre, nutzt blues, sings blues",18,2015-2019,Blues-Textanalyse: Verlust und Sehnsucht
42,"wild horses, john wayne, püppchen, cowgirl, old town",42,2015-2019,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, autumn leaves, herbstes, laubs, frühjahr",117,2015-2019,Herbstliche Symbolik von Verlust
44,"kollegah, kollegahs, unantastbarer, deutschen rap, rap szene",76,2015-2019,Kollegah: Luxus‑Rap und Machtdemonstration
45,"wobei wasser, waterfall, fluss steht, holy water, wunsch fluss",144,2015-2019,Fluss‑Metaphern in Liedtexten
46,"körperliche verlangen, unmittelbarer körperlicher, dating, biene, erotik",342,2015-2019,Erotische Süßmetaphern in Pop
47,"bushido, bushido positioniert, unantastbarer, sonny, bushidos",40,2015-2019,Bushido: Selbstinszenierung im deutschen Rap
48,"los los, york city, harlem, chinatown, heimweh",116,2015-2019,"New York: Stadt, Kultur, Musik"
49,"indigo, no sunshine, black blue, blue entfaltet, wort blue",55,2015-2019,Blaues Symbol für Traurigkeit
50,"run run, runaways, ground running, flucht selbstbestimmung, ausgestoßenen",389,2015-2019,Ständige Flucht und innere Zerrissenheit
51,"raumschiff, astronauten, weltraums, spaceship, astronaut",135,2015-2019,Weltraum‑Utopie Shangri‑La
53,"nicki, minaj, eminems, nicki minaj, eminem",119,2015-2019,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
54,"samy, deluxe, samy deluxe, gifted, promi",33,2015-2019,Samy Deluxe und deutsche Rapszene
55,"hollywoods, sicario, krokodil, chemie, drehbuch",25,2015-2019,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, weihnachtsbotschaft, christi, geburt christi",14,2015-2019,Stille Nacht – Heilige Geburt
57,"zappa, deichkind, 257ers, überspitztes, zappas",548,2015-2019,Zappa‑Ästhetik und satirische Provokation
58,"iris, ramblin, thorns, rose steht, tausend rosen",44,2015-2019,Rote Rosen Symbolik in Liedern
59,"masquerade, vivian, bulletproof, next time, erwartung stets",186,2015-2019,Fassade vs innere Verzweiflung
60,"cold outside, eiskalt, really can, pneumonia, eisbär",88,2015-2019,"Kälte außen, Herz erstarrt"
61,"farid, ufo361, farid bang, fler, kurdo",213,2015-2019,Deutschrap‑Battle: Farid Bang & Szene
62,"schmetterlings, schmetterling, got day, savas, day got",15,2015-2019,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"nas, compton, niggas, kendrick, dre",88,2015-2019,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, weihnachtszeit, weihnachtslied, weihnachtskarten",35,2015-2019,Klassisches Weihnachtslied mit Schlitten
65,"eko, eko fresh, hartz, deutschen rap, freezy",26,2015-2019,"Eko Fresh: Status, Kritik, Selbstinszenierung"
-1,"gig, doja, polo, chakuza, doja cat",6061,2020-2024,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog zerrissenheit, monolog sprecherin, monolog verlangen, monolog verzweiflung, monolog selbstzweifeln",2044,2020-2024,Zerrissener innerer Monolog und Selbstreflexion
1,"rave, körperliche bewegung, tanzkultur, scooter, tanzmusik",329,2020-2024,Rave‑Kultur: kollektiver Tanz
2,"nutzt regens, äußere wetter, let rain, prasseln, wetterphänomen",169,2020-2024,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, merry christmas, weihnachtsfest, weihnachtsmann, mistelzweig",371,2020-2024,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"reezy, dior, bissiger, überfluss leere, satirischer kommentar",299,2020-2024,Bissige Satire über Geldliebe
5,"prada, glock, illegale, niggas, gewalt drogen",2779,2020-2024,"Straßenrap: Luxus, Drogen, Gewalt"
6,"driver, fahrzeugs, autofahrt, chevrolet, fahrers",157,2020-2024,"Fahrzeug, Fahrer und Mobilität"
7,"liebesmanifest, liebe allumfassende, gefühls unterstreicht, intensives bekenntnis, präsentiert liebe",601,2020-2024,Allumfassendes Liebesmanifest
8,"zugfahrt, choo, midnight train, eisenbahn, love train",31,2020-2024,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, inneres gefecht, ringen selbstzerstörung, intensives innenleben, düsteres bekenntnis",804,2020-2024,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, vertrauen göttliche, ave maria, ave, göttlicher gegenwart",69,2020-2024,Christliche Glaubensbekenntnis und Anbetung
11,"waldbrand, fiebers, steht intensive, feuer eis, feuers steht",148,2020-2024,Feuer als Metapher für Liebe
12,"angel eyes, engel flügel, angel entfaltet, engel steht, reinheit schutz",46,2020-2024,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, ökologischen, umweltzerstörung, eindringlicher protest, sabaton",441,2020-2024,Umweltzerstörung: Protest der Bevölkerung
14,"venedig, mondlichts, sommerromanze, blue moon, mond steht",111,2020-2024,Sommerliebe im Mondlicht
15,"jah, kollektive gewissen, mitzuwirken, inklusiven, ungerechtigkeiten",389,2020-2024,Kollektiver Aufruf zur Gerechtigkeit
16,"segelns, atlantis, schiffes, sail away, seereise",228,2020-2024,"Maritime Reisen, Mythen und Hafen"
17,"zuhaus, wort home, wahre zuhause, heimweh, zuhause physischer",186,2020-2024,Heimweh und Rückkehr
18,"innenleben sehnsucht, sehnsucht selbstschutz, zerrissene innenleben, intensives innenleben, sehnsucht selbstzweifeln",1941,2020-2024,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestierter aufruf, manifestes, aufruf selbstakzeptanz, aufruf resilienz, aufruf bewussten",791,2020-2024,Aufruf zur Selbstbestimmung und Resilienz
20,"deutschen rap, ferris, rap szene, pa sports, sports",361,2020-2024,"Deutschrap: Gewalt, Identität, Szene"
21,"bethlehem, hirten, christi, geburt jesu, gloria",32,2020-2024,Weihnachtsgeschichte: Geburt Jesu
22,"verlangen selbstzerstörung, verlangen selbstschutz, intensives porträt, intensiver anziehung, femme",636,2020-2024,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, kalifornische, louisiana, arcadia, kansas city",36,2020-2024,Amerikanische Reise‑ und Freiheitslyrik
24,"befreiung toxischen, erdrückenden beziehung, manifest selbstbefreiung, mcrae, lune",552,2020-2024,Selbstbefreiung aus toxischer Beziehung
25,"blackbird, flieg, weiße taube, over rainbow, mockingbird",225,2020-2024,"Flug über Regenbogen, Begrenzungen"
26,"liebesmanifest, entfaltet poetisches, begegnung geliebten, supernova, liebe alltägliche",381,2020-2024,Allumfassende kosmische Liebesbegegnung
27,"tock, mütterliche liebe, tick tock, 27, mutter bleibt",120,2020-2024,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"nancy, alcohol, trink, lilac, bully",90,2020-2024,"Alkohol, Bar, Herzschmerz, Flucht"
29,"fool gold, lil tjay, tjay, fool love, ava",87,2020-2024,Selbstbezeichnung als Narr in Beziehungen
30,"khalid, call name, jederzeit erreichbar, up phone, missed calls",131,2020-2024,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, liebesmanifest, jugendlicher leidenschaft, moderner liebes, moderner pop",373,2020-2024,Jugendliche Pop‑Liebeserklärung
32,"abenteuerland, forever young, rückblick unbeschwerte, nachdenklicher rückblick, erwachsenseins",232,2020-2024,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"nutzt winterliche, frightful, christkind, mandy, delightful",53,2020-2024,Wintersturm und heimische Geborgenheit
34,"enter, sandman, sandmann, kind schlaf, under bed",18,2020-2024,Sandmann – nächtliches Schlaflied
35,"algorithmen, bildschirme, pandemie, 2020, automatisierten",581,2020-2024,Digitale Entfremdung und Bürokratie
36,"alchemie, diamonds are, herz gold, are forever, heart gold",57,2020-2024,Goldene Alchemie der Liebe
37,"snoop, dogg, snoop dogg, west coast, lil wayne",85,2020-2024,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"roulette, kartenspiels, kartenspiel, würfelspiel, gambler",49,2020-2024,"Kartenspiele, Würfel und Roulette"
39,"american dream, amerikanischen traums, nationaler, bruce, amerikas",75,2020-2024,"Amerikas Patriotismus, Indigene und Schuld"
40,"bekenntnis bedingungsloser, bedingungsloser unterstützung, verlässlicher anker, aimee, stand by",364,2020-2024,Bedingungslose Unterstützung und Verlässlichkeit
41,"half mast, at half, hard hearted, hearted woman, mast",9,2020-2024,Blues-Textanalyse: Verlust und Sehnsucht
42,"country girls, 61, nashville, reiter, arkansas",31,2020-2024,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, herbstes, sanduhr, frühjahr, sommer herbst",113,2020-2024,Herbstliche Symbolik von Verlust
44,"kollegah, unantastbarer, kollegahs, rap szene, maybach",91,2020-2024,Kollegah: Luxus‑Rap und Machtdemonstration
45,"fluss steht, nutzt wassers, wobei wasser, underwater, tauchens",139,2020-2024,Fluss‑Metaphern in Liedtexten
46,"körperliche verlangen, lambert, körperlicher anziehung, usher, minogue",237,2020-2024,Erotische Süßmetaphern in Pop
47,"bushido, bushido positioniert, bushidos, unantastbarer, sonny",35,2020-2024,Bushido: Selbstinszenierung im deutschen Rap
48,"los los, wien, uber, york city, urbaner entfremdung",114,2020-2024,"New York: Stadt, Kultur, Musik"
49,"indigo, blue inneres, shade blue, baby blue, wort blue",59,2020-2024,Blaues Symbol für Traurigkeit
50,"run run, pandemie, aufforderung run, high road, wort run",366,2020-2024,Ständige Flucht und innere Zerrissenheit
51,"astronaut, spaceman, astronauten, raumschiff, tropicana",129,2020-2024,Weltraum‑Utopie Shangri‑La
52,"ungefilterter kommunikation, anschließende hit, markieren hinweis, kurzer ausruf, gemeinschaft transportiert",1,2020-2024,Funk‑Call‑Response bei James Brown
53,"megan, megan thee, uzi, thee stallion, stallion",256,2020-2024,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
54,"samy, deluxe, samy deluxe, boom bap, vendetta",21,2020-2024,Samy Deluxe und deutsche Rapszene
55,"hollywoods, jacky, hollywood hills, durstlöscher, glamours",35,2020-2024,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, weihnachtsbotschaft, mother child, calm bright",16,2020-2024,Stille Nacht – Heilige Geburt
57,"zappa, krasavice, katja, katja krasavice, bock",584,2020-2024,Zappa‑Ästhetik und satirische Provokation
58,"bouquet, marigolds, blüht, rose steht, rose entfaltet",50,2020-2024,Rote Rosen Symbolik in Liedern
59,"halsey, selbstsabotage, masquerade, sabotage, zerrissenheit öffentlicher",227,2020-2024,Fassade vs innere Verzweiflung
60,"cold outside, eiszeit, herz eis, cold heart, dünnem eis",100,2020-2024,"Kälte außen, Herz erstarrt"
61,"farid, farid bang, ufo361, fler, kurdo",194,2020-2024,Deutschrap‑Battle: Farid Bang & Szene
62,"schmetterlings, schmetterling, flattern, aufblühen gefühlen, zarte flüchtige",26,2020-2024,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"nas, niggas, nas nutzt, dmx, tjay",102,2020-2024,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, jingle bells, one horse, used know",46,2020-2024,Klassisches Weihnachtslied mit Schlitten
65,"eko, eko fresh, savas, freezy, deutschen rap",15,2020-2024,"Eko Fresh: Status, Kritik, Selbstinszenierung"
